Player,Team,Season,Season Type,Games,Personal Fouls PG,Charges Drawn,Off. Fouls Drawn,Off. Fouls,Clear Path Fouls,Defensive 3 Seconds,Shooting Fouls Committed,Lost Ball Fouls,Technical Fouls,Flag. Foul Type 1,Flag. Foul Type 2
Kyle Korver,Hawks,2015-2016,REG,73,1.97,4,8,9,0,0,107,2,0,0,0
DeJuan Blair,Wizards,2015-2016,REG,29,1.83,3,5,8,0,0,31,4,0,0,0
Jeff Ayres,Clippers,2015-2016,REG,9,0.56,0,0,2,0,0,2,0,0,0,0
Ian Mahinmi,Pacers,2015-2016,REG,63,3.13,1,6,17,0,1,116,12,0,0,0
Garrett Temple,Wizards,2015-2016,REG,71,2.51,6,26,8,0,1,115,7,0,0,0
Mo Williams,Cavaliers,2015-2016,REG,36,1.61,1,7,4,0,0,25,2,0,0,0
Matt Bonner,Spurs,2015-2016,REG,25,0.44,0,0,0,0,0,8,2,0,0,0
Manu Ginobili,Spurs,2015-2016,REG,53,1.7,4,22,5,0,0,41,4,0,0,0
Paul Pierce,Clippers,2015-2016,REG,64,1.91,2,6,7,0,4,73,8,0,1,0
Wayne Ellington,Nets,2015-2016,REG,67,1.07,0,4,1,0,0,40,2,0,0,0
Jahlil Okafor,76ers,2015-2016,REG,53,2.64,0,0,27,0,5,84,11,0,0,0
Patty Mills,Spurs,2015-2016,REG,73,1.22,7,30,3,0,0,47,2,0,0,0
DeMarre Carroll,Raptors,2015-2016,REG,23,2.48,0,6,2,1,0,39,3,0,0,0
Nazr Mohammed,Thunder,2015-2016,REG,4,0.75,0,0,0,0,0,3,0,0,0,0
Danny Green,Spurs,2015-2016,REG,72,1.71,5,13,5,0,1,68,6,0,0,0
Udonis Haslem,Heat,2015-2016,REG,31,0.61,2,7,3,0,1,11,1,0,0,0
Steve Novak,"Thunder, Bucks",2015-2016,REG,10,0.3,0,0,0,0,0,3,0,0,0,0
Kevin Martin,"Timberwolves, Spurs",2015-2016,REG,49,1.61,2,5,6,0,0,29,1,0,0,0
Rodney Stuckey,Pacers,2015-2016,REG,49,1.24,5,16,7,0,0,32,1,0,1,0
Marco Belinelli,Kings,2015-2016,REG,68,1.34,0,10,4,0,0,52,2,0,2,0
Jared Dudley,Wizards,2015-2016,REG,72,2.35,6,18,4,0,3,92,6,0,1,0
Jameer Nelson,Nuggets,2015-2016,REG,39,2.56,6,13,2,0,0,61,8,0,0,0
Ersan Ilyasova,"Pistons, Magic",2015-2016,REG,70,2.36,35,55,9,0,3,94,21,0,0,0
CJ Miles,Pacers,2015-2016,REG,57,2.21,12,16,10,0,0,73,4,0,0,0
Brandon Bass,Lakers,2015-2016,REG,65,1.89,1,5,8,0,5,85,9,0,0,0
Kendrick Perkins,Pelicans,2015-2016,REG,28,1.75,0,0,7,0,0,28,6,0,0,1
Eric Gordon,Pelicans,2015-2016,REG,45,2.18,0,3,3,0,0,68,2,0,0,0
Charles Hayes,Rockets,2015-2016,REG,2,3,0,0,1,0,0,3,0,0,0,0
Andrea Bargnani,Nets,2015-2016,REG,46,1.33,1,4,5,0,2,33,7,0,1,0
LaMarcus Aldridge,Spurs,2015-2016,REG,68,2.1,1,6,11,0,4,98,8,0,0,0
Ryan Hollins,"Wizards, Grizzlies",2015-2016,REG,34,1.82,1,2,9,0,2,37,6,0,0,0
Lou Amundson,Knicks,2015-2016,REG,26,1.58,1,1,3,0,0,25,2,0,0,0
Jordan Farmar,Grizzlies,2015-2016,REG,4,2.25,1,3,0,0,0,4,0,0,0,0
Beno Udrih,"Grizzlies, Heat",2015-2016,REG,44,1.16,4,9,1,0,0,29,3,0,0,0
Thabo Sefolosha,Hawks,2015-2016,REG,68,1.44,1,7,4,0,1,55,8,0,0,0
Mike Conley,Grizzlies,2015-2016,REG,56,1.79,6,23,4,0,1,65,3,0,0,0
Jeff Green,"Grizzlies, Clippers",2015-2016,REG,71,2.11,3,8,12,0,3,80,14,0,0,0
Randy Foye,"Nuggets, Thunder",2015-2016,REG,73,1.63,3,11,3,1,0,79,4,0,0,0
Corey Brewer,Rockets,2015-2016,REG,74,2.12,17,34,6,0,0,79,9,0,0,0
Brandan Wright,Grizzlies,2015-2016,REG,12,1.75,0,1,3,0,0,13,0,0,0,0
Tiago Splitter,Hawks,2015-2016,REG,36,1.97,1,3,7,0,1,44,5,0,0,0
Carl Landry,76ers,2015-2016,REG,32,1.97,1,3,4,0,0,37,7,0,0,0
Michael Beasley,Rockets,2015-2016,REG,12,2.17,1,1,1,0,2,20,0,0,0,0
JaVale McGee,Mavericks,2015-2016,REG,33,1.48,0,5,5,0,1,28,4,0,0,0
Nikola Pekovic,Timberwolves,2015-2016,REG,12,1.83,0,0,4,0,1,6,3,0,0,0
Sonny Weems,"Suns, 76ers",2015-2016,REG,43,1.09,0,3,1,0,0,27,0,0,0,0
Luc Mbah a Moute,Clippers,2015-2016,REG,65,1.32,1,3,4,0,2,49,4,0,0,0
